Catégorie	Auteur	Titre français normalisé	Autres titres français	Titre latin	Titre syriaque normalisé	Incipit syriaque	Identifiant dans une clavis	cote catalogue et notes personnelles
		Histoire de Ṭalia, l'enfant de Syrie 					Éd. / Trad. (partiel) NAU, "Résumé", 1917, p. 15-16 (d'après Add. 12174) ; SS 435/1	Damas ; Add. 12174
		Histoire de Thècle, disciple de Paul   					Éd. / trad. WRIGHT, Apoc. Acts, 1871, vol. 1, p. ܩܟܚ-ܩܟܛ (texte), vol. 2, p. 116-145 (trad.) ; BHO 1152-1154. 	Damas 12/18 ; Add. 12174
		Histoire de Xénophon, sa femme Marie et ses fils Jean et Arcadius					Cf. BHO 1246-1247 (arménien et arabe) ; cf. BHG 1877u-1879.	236, 9 ; Damas
		Histoire de Yaret l'Alexandrin 					Éd. / Trad. NAU, ROC, 1914, p. 432-40 ; SS 454	Damas , Paris syr. 428
		Histoire de Yawnan  					Éd. AMS, 1890, vol. 1, p. 466-525	Paris BnF syr. 295
		Histoire de Yawnan le fou qui a reçu la couronne du martyre						Paris BnF syr. 427
Hagio. 		Histoire de Zosime et des Réchabites	Apocalypse de Zosime relative aux Réchabites	Historia Réchabitarum 	ܒܢ̈ܝ ܪܟܒܝܡ ܘܙܘܣܝܡܐ		Éd. / trad. : NAU, "La Légende des fils de Jonadab", 1899, p. 54-75 (texte d’après les mss. Paris BnF syr. 234-235-236, London BL Add. 12174), p. 136-146 (trad.) ; trad. anglaise (à partir du texte syr. établi par Nau) CHARLESWORTH, "History of the Rechabites", 1985, p. 443-461 (revue par  BROCK dans JJS 38, 1987, p. 109-110); CAVT 166. [Pour le texte grec, voir éd. CHARLESWORTH, ''History of the Rechabites'', 1982 ; éd. JAMES, 1893, p. 86-108 ; éd. VASSILIEV, 1893, p. xxxviii-xl et p. 166-179 ; trad. anglaise CRAIGIE, 1872, p. 219-224 ; BHG 1889-1890.]	234, 5 ; 235, 15 ; 236, 17 ; Trichur ; Téhéran Issayi 18, 4 ; Damas ; Add. 12174 ; rahmani 019
		Histoire des 120 martyrs 					Éd. AMS, 1891, vol. 2,  p. 291-295 ; BHO 718.	BL Add. 12174 ; vat. sir. 161
Hagio. 		Histoire des 40 martyrs					Cette histoire est différente de celle de 40 martyrs de Sébaste qu'on peut lire dans AMS, 1892, vol. 3, p. 355-375 (BHO 713).	Vat. sir. 161
		Histoire des dix vizirs					Cf. éd. de la version arabe SALHANI, 1890 et trad. BASSET, 1883.	Paris BnF syr. 324 ; 331
		Histoire des lépreux guéris par le Christ						303 (en garsh.)
		Histoire des martyrs ḥimyarites					Éd. AMS, 1890, vol. 1, p. 372-397.  	Paris BnF syr. 295 ; 309.
		Histoire des prophètes, des justes, des pères et des docteurs						Strasbourg syr. 4134
Hagio.		Histoire des quarante martyrs de Sébaste					Éd. AMS III, p. 355-375 ; BHO 713. 	234, 39 ; Damas 12/18
		Histoire des sept dormants d'Ephèse 					Éd. / Trad. : AFIF, "Sept dorm.", 2012 ; AMS I, 301-311 ; cf. GUIDI, "Bemerkungen", 1842, p. 749-750 ; BHO 1013 ; SS 146.	Paris BnF syr. 309 ; 235, 34 ; 326 ; Damas 12/18
		Histoire des sept martyrs de Samosate  					Éd. AMS IV, p. 88-116 (d'après Assemani) ; BHO 388. 	Damas 12/18
		Histoire d'Épimanus de Rome						197
		Histoire d'Eugène l'égyptien 					Ce n'est pas Awgin 	Add. 12174
		Histoire d'Eugénie  					Éd. AMS V, p. 469-514 ; éd. / trad. SMITH LEWIS, Select Narratives,  1900, vol. 1, p. ܐ-ܡܚ (texte) ; vol. 2, p. 1-35 (trad.) ; BHO 282. 	Damas 12/18
Hag.		Histoire d'Euloge et le lion // Histoire d'Euloge et le lépreux					Éd. AMS VII, p. 193-200 ; BUDGE, The Book of Paradise, 1904, II, p. 237-242 (texte) ; I, p. 293-299 (trad.) ; BHO 854-56 ; SS 152	Berlin syr. 74, f. 78 ; Damas ; Add. 12174, 23 (il y a une grande différence avec le mss. de Berlin, due peut-être au fait que B. est un résumé ("une partie" de l'histoire d'Awgin) ... Add. 12174, 37... 
		Histoire d'Euphémie  					Éd. NAU, ROC 15, 1910, p. 66-72 (texte) et 173-181 (suite du texte) ; Éd. / Trad. BURKITT, Euphemia, 2007 ; BHO 363 ; SS 181 (Guria et Šmona), SS 182 (Ḥabib).	Paris BnF syr. 234, 38 ; 385
		Histoire d'Euphrosyne d'Alexandrie 					Éd. AMS V, p. 386-405 (à partir du Paris BnF syr. 234 et du BL Add. 14649) ; BHO 288-289.	234, 23 ; 235, 26 ; Damas (perdu)
		Histoire d'Eupraxie 					SS 153, BHG 631 (5 s.) ; Paradis des Pères n° 165	235, 24 ; 236, 10 ; Damas 12/18
		Histoire d'Euthalius						Damas
		Histoire d'Évagre 					Cf. DRAGUET, Hist. Laus. II, 1, p. 178-188 (trad.) ; Hist. Laus. II, 2, p. 266-283 (texte). 	Damas
		Histoire d'Hilaria  					Éd. / Trad. WENSINCK, Legends of Eastern Saints, 1911, 2 ; SS 191 ; cf. BHO 379.	Damas 12/18
Hagio. 		Histoire d'Isaïe d'Alep 			ܐܫܥܝܐ ܡܢ ܚܠܒ		Éd. AMS III, p. 534-571 (d'après mss London RAS syr. 1 et Berlin Sachau 222, qui présentent une rédaction très différente du texte qu'on trouve dans les mss de Paris) ; BHO 549 ; SS 205.	234, 8 ; RAS ; Damas ; Add. 12174
Hagio. 		Histoire d'Onésima 					Éd. : AMS V, p. 405-419 (Paris BnF 235 et BL Add. 14 733; mais en fait, quand on vérifie, on s'apperçoit que le texte édité par Bédjan n'est pas cellui du Paris BnF 235, contrairement à ce qui avait été annoncé dans l'introduction !!!); traduction : SMITH LEWIS, Select Narratives, 1900, p. 60-69 ; BHO 815 ; SS 332 ; Paradis des Pères n° 164	235, 25; RAS syr. 1 ; syr. 236, 19 ; Damas 12/18
		Histoire du démon pénitent 		 				RAS syr. 1 ; Paris Bnf syr. 434, II
		Histoire du marchant qui alla à Constantinople 						Add. 12174
		Histoire du moine qui possédait les neuf vertus			ܬܫܥܝܬܐ ܥܠ ܗܘ ܕܬܫܥ̈ ܡܢܘ̈ܬܗ	ܐܡܪܝܢ ܗܘܘ ܐܒܗ̈ܬܐ ܡܛܠ ܐܚܐ ܚܕ ܕܐܝܬܘܗܝ ܗܘܐ ܒܥܘܡܪܐ ܪܒܐ 	Éd. AMS VII, p. 268-272 ; trad. BUDGE, The Book of Paradise, 1904, vol. 2, p. 294-297 (texte) ; vol. 1, p. 379-383 (trad.).	236, 24
		Histoire du père de Georges					Rien en syriaque apparemment, mais le texte existe en garshuni et a été édité par G. Kiraz dans Acts of Saint George, 2009. 	Paris BnF syr. 414
		Histoire du prêtre Paula conversant avec Satan					 	Paris BnF syr. 378, UC B ; Paris BnF syr. 389 (D)
		Histoire du prince Astigos						Strasbourg syr. 4123
		Histoire du recensement des Hébreux						Téhéran Issayi 18, 17 
		Histoire du roi Abbas Ier						Strasbourg syr. 4142
Apoc. 		Histoire du roi David 		Instructio Dauid ad Salomonem			CAVT 154	65, 6, en carchouni
		Histoire du solitaire de l'arbre et du crâne						235, 13
		Histoire d'un évêque qui renia le Christ 						234, 25. Voir dans AMS VII... 
		Histoire d'un évêque tombé dans la fornication			ܐܝܬ ܗܘܐ ܕܝܢ ܐܦܣܩܘܦܐ ܒܚܕܐ ܡܢ ܡܕܝܢܬܐ . ܘܡܢ ܡܥܒܕܢܘܬܗܘܢ ܕܐܟܠܩܪܨܐ ܢܦܠ ܒܙܢܝܘܬܐ ܒܚܕ ܡܢ ܝܘ̈ܡܝܢ ܗܟܝܠ ܟܕ ܗܘܐ ܟܢܘܫܝܐ ܒܥܕܬܐ 			Paris BnF syr. 417
		Histoire d'un homme en prison 						Add. 12174
Hagio. 		Histoire d'un homme riche d'Egypte 	Geschichte eines reichen Mannes in Aegypten 				GCAL I, 553	197, 3, h
		Histoire d'un homme riche qui perdait tous ses enfants, et de son voisin pauvre					[d'après Zotenberg : "Cette histoire provient également de Mélétius]	234, 33
		Histoire d'un laïque d'Antioche 						236, 27
		Histoire d'un moine et d'un médecin					Cf. GCAL I, p. 551	Paris BnF syr. 398 (en garshuni)
		Histoire d'un Père du désert (à la recherche de quiétude)				ܐܝܬ ܗܘܐ ܕܝܢ ܝܚܝܕܝܐ ܚܕ ܡܕܒܪܝܐ. ܘܣܓܝ ܨܦ ܗܘܐ ܓܝܪ ܕܢܫܟܚ ܠܗ ܕܘܟܬܐ ܕܫܠܝܐ	Éd. AMS VII, p. 215-217 ; éd. / trad. BUDGE, The Book of Paradise, 1904, vol. 2, p. 263-264 (texte) ; vol. 1, p. 323-325 (trad.).	236, 21
		Histoire d'un Père du désert (digne de l'épiscopat)				ܡܫܬܥܐ ܗܘܐ ܐܢܫ ܡܢ ܣ̈ܒܐ . ܗܢܐ ܕܐܫܬܘܝ ܐܦ ܠܐܝܦܣܩܦܘܬܐ ܒܡܕܝܢܬܐ ܚܕܐ ܒܡܨܪܝܢ	Éd. AMS VII, p. 257-259 ; éd. / trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 366-369.  	236, 20
		Histoire d'un Père du désert (sur le maintien de la raison)				ܐܝܬ ܗܘܐ ܣܒܐ ܚܕ ܕܝܬܝܒ ܗܘܐ ܒܩܠܝܬܐ ܕܝܠܗ	Éd. AMS VII, p. 277-281; trad. BUDGE, The Book of Paradise, 1904, vol. 1, p. 388-391 (trad.).	236, 22
		Histoire d'un roi des temps anciens						Paris BnF syr. 309 
		Histoire d'une religieuse 						Paris BnF syr. 309 
Hagio.		Histoire d'une vierge d'Alexandrie et d'un enfant						234, 16 ; Damas 12/18
Hagio. 		Histoire d'une vierge d'Alexandrie nommée Dasi	Geschichte einer Jungfrau von Alexandrien Namens Dasi 				GCAL I, 551	197, 3, e (en carshouni) 
		Histoire d'une vierge de Césarée						Paris BnF syr. 309 
		Histoire d'une vierge de Jérusalem 					[on a vérifié dans AMS VII, 100 : le ms. 234 ne présente pas le même incipit, et le pb c'est que nous n'avons que le titre de l'histoire du 235]	235, 27 ; 234, 37
		Histoire d'une vierge qui tomba et se repentit 					Éd. AMS VII, p. 100-102	Damas 12/18 ; Add. 12174
		Histoire sur le jour du vendredi					Résumé à partir de ce manuscrit dans NAU, "Hagiographie", 1910, p. 192-193.	234, 24
		Homélie pour le second vendredi de carême						193, o
		Homélie sur la dévotion, le jeûne et le silence						193, j
		Homélie sur la prière constante dans la crainte continuelle						193, i
		Homélie sur le carême						193, n
Litur. 		Ḥudra			ܚܘܕܪܐ			25, 3
Litur.		Ḥutama 			ܚܘܬܡܐ			74, 13 
Hagio.		Hymne ܒܩܘܡ ܦܘܠܘܣ				ܢܚܡ ܗܘܐ ܬ̈ܠܬܐ ܥܢܝ̈ܕܐ : ܒܣܗܕܘܬܐ ܕܬܖ̈ܝܢ ܫܖ̈ܝܪܐ : ܚܕ ܡܢܗܘܢ ܝܫܘܥ ܨܘܦܢܝܐ : ܘܐܚܪܢܐ ܝܥܩܘܒ ܐܪܙܢܝܐ	F. BRIQUEL-CHATONNET, "Notes", 1985, p. 96, n. 5 ; BAUMSTARK, §. 43i, p. 273-274. 	Paris BnF syr. 375, 4 ; 379
		Hymne alphabétique				ܠܟ ܫܘ̄ ܨܡܝܕܐ ܕܡܢ ܐܒܐ . ܕܨܪܟ ܗܘܐ ܫܠܡܘܢ ܒܦܠܐܬܐ̈		215, 9
		Hymne alphabétique				ܚܠܐ ܟܘܢܝܐ ܠܬܝܒܘܬܐ ܐܒܟܐ ܘܐܒܟܐ ܘܐܒܟܐ		215, 10
Litur. 		Hymnes de l'office nestorien pour les sept jours de la semaine						182, 1
Litur. 		Hymnes de propitiation de l'encens pour la Résurrection et les fêtes de l'été						173, 4
Litur. 		Hymnes de propitiation de l'encens pour la semaine sainte, la Résurrection, et la Pentecôte						174
Litur. 		Hymnes de propitiation de l'encens pour les fêtes dominicales après l'invention de la croix						175, 1
Litur. 		Hymnes de propitiation de l'encens pour les offices de la semaine sainte 						171, 2 ; 172, 2
Litur. 		Hymnes de propitiation de l'encens pour les offices du carême						171, 1 ; 172, 1
Litur. 		Hymnes de propitiation de l'ences pour les fêtes de l'hiver						167 ; 168 ; 169 ; 170
Litur. 		Hymnes de vigile						146, 2 
Litur. 		Hymnes funèbres						145, 7 et 9 ;148, 4
AT		Isaïe						
NT		Jacques						
NT		Jean						
AT		Jérémie						
AT		Job						
AT		Joël						
AT		Jonas						
AT		Josué						
NT		Jude						
AT		Judith						
AT		Juges						
		La Didascalie de Jacob 					Ed. NAU, PO 8, 5, 1912, p. 745-780.	Paris BnF syr. 383
Mystique ? 		L'alphabet de Bardesane	Alphabet mystique bardésanien					173 (faut-il en faire une entrée?) ; Firenze BML Or. 298
AT		Lamentations						
		Le jardin 	Le soleil des esprits					Paris BnF syr. 398 (en garshuni)
Litur. / Sces		L'épacte 						187, 2 
Canon. 		Lettre à Martyrius d'Antioche					Trad. NAU, ROC 14, 1909, p. 119-20.	62, 41 cf. Mss. Grec Coislin 211
Apoc.		Lettre d'Abgar et réponse de Jésus		Epistola Abgari cum Christi responso			CANT 88	56 (préciser en commentaire s'il n'y a qu'une seule des deux pièces)
		Lettre tombée du ciel sur l'observance du dimanche		Epistula a caelo missa de seruanda dominica			Éd. BITTNER, Der vom Himmel gefallene Briefe, 1906, p. 100-129 (avec trad. allemande) ; CANT 311	RAS syr. 1 ; London BL Or. 4526 ; 232, 4 (seulement introduction). 
		Lettres en vers						215, 12
		Lettres et pièces originales relatives aux maronites						Paris BnF syr. 334
AT		Lévitique						
Litur. 		Litanie de la Vierge 						186, 2/l
Litur. 		Litanies des saints 						186, 2
Litt. / Théol. 		Livre des degrés 		Liber graduum 	ܟܬܒܐ ܕܡܣܩ̈ܬܐ 			201, 8-9 
Litt. / Théol. 		Livre de la cause des causes		Liber causae causarum	ܟܬܒܐ ܕܥܠܬ ܥܠܢ			243 ; Firenze BML Or. 298
		Livre des médecins sur les herbes médicinales					Cf. HAWLEY, Semitica et Classica 1, 2008.	Paris BnF syr. 423
		Livre des remèdes terrestres					Cf. BUDGE, 1913, I, p. 553-611 (texte), II, p. 656-714 (trad.).	Paris BnF syr. 424-425 ; Paris 325
Litur. 		Livre liturgique nestorien	Livre d'avant et d'après		ܟܬܒܐ ܕܩܕܡ ܘܕܒܬܪ			183, 1 (contient la première et la troisième partie)
		Livre sur les herbes médicinales et les médicaments					Cf. GIGNOUX, 1998.	Paris BnF syr. 423
NT		Luc						
AT		Malachie						
NT		Marc						Firenze BML Or. 425
Hagio.		Martyre d’‘Aqabšmo, Yawsep et Aytiloho					Éd. AMS, 1891, vol. 2,  p. 351-96 ; BHO 22.	Vat. sir. 161
Hagio.		Martyre d’Héliodore, Dosas, Mareabes, ‘Abdišo’ et leurs compagnons 					Éd. AMS, 1891, vol. 2,  p. 316-24 ; BHO 375.  	Vat. sir. 161
Hagio.		Martyre d’un mime qui vécut le martyre dans un théâtre						Vat. sir. 161
		Martyre d'Agnès  					Éd. AMS IV, p. 116-123 ; BHO 34.	Damas 12/18
Apoc. 		Martyre d'André		Martyrium apostoli Andreae 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 23-26 (texte), p. 26-29 (trad.) ; CANT 235 ; BHO 53.	232, 7/f (garshuni)
Hagio.		Martyre de ‘Abdo, ‘Abdišo’ et leurs compagnons					Éd. AMS, 1891, vol. 2,  p. 325-47 ; BHO 5.	Vat. sir. 161
		Martyre de 'Abda da-Mšiḥa  					Éd. CORLUY, "Acta sancti Mar Abdu’l Masich", 1886, p. 5-52 (à partir de Add. 12174) ; AMS I, p. 173-201 ; BHO 3 ; SS 10.	Damas 12/18 ; Add. 12174
		Martyre de Babylas d'Antioche					Éd. AMS IV, p. 274-290 (d'après Add. 12174 et 14645) ; BHO 128 ; SS 67. 	Add. 12174
Hagio.		Martyre de Badimo l’Archimandrite					Éd. AMS, 1891, vol. 2,  p. 347-51 ; BHO 131 ; SS 70.  	Vat. sir. 161
Hagio.		Martyre de Barba'šemin et ses compagnons					Éd. AMS, 1891, vol. 2,  p. 296-303 ; BHO 135 ; SS 72.  	Vat. sir. 161
		Martyre de Barbe et Julienne 					Éd. AMS III, 345-55 ; BHO 134 ; SS 71 et 262. 	235, 35 ; Damas 12/18
Hagio.		Martyre de Barsabias, de ses compagnons et d’un mage					Éd. AMS, 1891, vol. 2,  p. 281-84 ; BHO 146 ; SS 82.  	Vat. sir. 161
Apoc. 		Martyre de Barthélémy 		Martyrium Bartholomaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 64-66 (texte), p. 76-79 (trad.) ;CANT 260 ; BHO 157.	232, 7/n (garshuni)
Hagio. 		Martyre de Behnam et de ses compagnons 			ܒܗܢܡ 		Éd. AMS 1892, 2, p. 397-441 (Berlin syr. 222) ; BHO 177 ; SS 86.	Paris BnF syr. 234, 3 et 295 et 326 ; Add. 12174
Hagio.		Martyre de Christophore  					Éd. POPESCU, 1903 ; BHO 190-191.	Damas 12/18 ; Vat. sir. 161 (BHO 190).
		Martyre de Cyprien et Justine 					Éd. AMS III, p. 322-344 (des. b) (d'après Berlin 222) ; SMITH LEWIS, Select Narratives, 1900, vol. 1, p. ܪܡܗ-ܪܥܚ (texte), vol. 2, p. 185-203 (trad.) (des. a) (d'après Add. 12142) ; BHO 228-9 ; SS 101. 	Damas 12/18 ; Add. 12174
		Martyre de Cyriaque et Juliette					Éd. AMS, 1892, vol. 3 , p. 254-283 (ms. De base inconnu) ; BHO 194 ; SS 109.	RAS syr. 1 , London Or 4526 ; Paris syr. 236, 16 ; Paris BnF syr. 309 ; 326 ; Paris BnF syr. 414 ; Damas 12/18 ; Vat. sir. 161.
Hagio.		Martyre de Daniel et Warda					Éd. AMS, 1891, vol. 2,  p. 290 ; BHO 245 ; SS 117.  	Vat. sir. 161
		Martyre de Georges					Éd. AMS I, p. 277-300 (à partir d'un ms. Mésopotamien et du Vat sir. 161 + Berlin Sachau 222) ;  GUIDI, "Bemerkungen", 1842, p. 746-749 (collation complète du Vat. sir. 161 ; BROOKS, Acts of S. George, 1925, p. 67-115 ; cf. KIRAZ, The Acts of St George, 2009 ; BHO 312-313. En fait Brooks explique qu'il y a deux rencensions : la première (I), qu'il édite, n'est attestée que dans deux mss BL 17205 et 14734 ; la seconde recension (II) est celle qui a été éditée par Bedjan. 	Damas 12/18 ; Paris BnF syr. 414
Hagio.		Martyre de Georges, Anṭoninos et de la reine Alexandra					Éd. AMS, 1890, vol. 1, p. 277-300 ; BHO 313.	Vat. sir. 161
Hagio.		Martyre de Gordios 					Cf. BHG 703 (Homélie de Basile de Césarée éditée dans PG 31, p. 489-507).  	Vat. sir. 161
		Martyre de Ḥabib  					Éd. / Trad. BURKITT, Euphemia, 2007, p. 26-43 (texte), p. 112-128 (trad.) ; BHO 367 ; SS 182.	Damas 12/18
Apoc. 		Martyre de Jacques le juste, frère du Seigneur 		Acta Iacobis minoris, fratris Domini 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 122-125 (texte), p. 143-147 (trad.) ; CANT 276 ; BHO 402.	232, 7/bb (garshuni)
Hagio.		Martyre de Jacques l'Intercis					Éd. AMS, 1891, vol. 2, p. 539-558 (d'après les éd.d'Assemani, d'Abbeloos et le Berlin Sachau 222) ; BHO 394 (en contradiction, au niveau des dates, avec BHG 772) ; SS 224.	Paris BnF syr. 234, 15 ; 236, 15 ; 295 ; 309 ; Damas 12/18 ; Vat. sir. 161.
Apoc. 		Martyre de Jacques, fils d'Alphée 					Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 94-95 (texte), p. 113-114 (trad.) ; BHO 390. 	232, 7/s (garshuni)
Apoc. 		Martyre de Jacques, fils de Zébédée 		Acta Iacobi Zebedaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 30-31 (texte), p. 35-39 (trad.) ; CANT 273 ; BHO 421.	232, 7/h (garshuni)
Hagio. 		Martyre de Juliette					Cf. BHG 970 (Homélie de Basile de Césarée éditée dans PG 31, p. 237-61) ; SS 266. Cette histoire est différente de celle de Cyriaque et Juliette.	Vat. sir. 161
		Martyre de Laurent et Agrippa 					SS 273 ; cf. BHO 561. 	Damas 12/18
		Martyre de Léonce et Publius 					Éd. AMS VI, p. 210-217 d'après ce manuscrit ; BHO 563. 	Add. 12174
Apoc. 		Martyre de Luc 		Acta Lucae euangelistae 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 130-133 (texte), p. 152-156 (trad.) ; CANT 293 ; BHO 568.	232, 7/r (garshuni)
Hagio.		Martyre de Lyqios, Tarsis et Qaliniqos					Cf. BHG 1844z.  	Vat. sir. 161
		Martyre de Mammès, Théodote et Rufina  					Éd. AMS VI, p. 431-445 (d'après Add. 12174); BHO 591 ; SS 284/2. 	Damas 12/18 ; Add. 12174
		Martyre de Marie 					Éd. / Trad. SMITH LEWIS, Select Narratives, vol. 1, p. ܩܝܐ-ܩܟܒ (texte), vol. 2, p. 85-93 (trad.) ; BHO 682. 	Damas 12/18
		Martyre de Marthe, fille de Posi					Éd. AMS II, 233-241 ; trad. BROCK-HARVEY, Holy Women, 1987, p. 67-73 ; BHO 698 ; SS 301 et 354. 	Add. 12174
Apoc. 		Martyre de Matthieu		Acta et Martyrium S. Matthiae apostoli 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 118-120 (texte), p. 137-139 (trad.) ; CANT 280 ; BHO 731.	232, 7/z
Hagio. 		Martyre de Mihršabur					Éd. AMS, 1891, vol. 2,  p. 535-59 ; BHO 771 ; SS 315.	Vat. sir. 161
Hagio. 		Martyre de Miles, Abraham et Sinoi					Éd. AMS, 1891, vol. 2,  p. 260-75 ; BHO 772 ; SS 316.  	Vat. sir. 161
Hagio. 		Martyre de Pantaléon et Hermolaos    					Pour Damas :Cf. SS 95-333 ; cf. NAU, "Résumé", 1920, p. 17-20 et 21-22. Pour Vat. sir. 161 : Cf. Éd. / Trad. partielles dans NAU, ROC 20, 1917, p. 21-22 ; cf. BHO 835-36 ; cf. SS 95 et 333	Damas 12/18 ; Vat. sir. 161.
Hagio.		Martyre de Paphnuce et ses compagnons					Comparer avec une recension plus courte éditée dans AMS, 1895, vol. 5, p. 514-542 ; BHO 839.	Vat. sir. 161
Apoc. 		Martyre de Paul 		Martyrium Pauli 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 186-189 (texte), p.  217-222 (trad.) ; CANT 211 ; BHO 888	232, 7/c (garshuni) ; 371, VII
		Martyre de Péthion 					Éd. AMS II, 604-631 (BHO 923) / Éd. CORLUY, "Historia", 1888, p. 8-44 (à partir de Add. 12174) ; BHO 924 ; SS 344. 	Damas 12/18 ; Add. 12174
Hagio.		Martyre de Philemon, Karolis, Apolonis et Aryanos à Alexandrie					Cf. BHO 973.  	Vat. sir. 161
Apoc. 		Martyre de Philippe 		Martyrium Philippi 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 56-58 (texte), p. 66-68 (trad.) ; CANT 252 ; BHO 982 ; GCAL I, p. 257-264	232, 7/l (garshuni)
Apoc. 		Martyre de Pierre 		Praedicatio Petri 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 179-184 (texte), p. 210-216 (trad.) ; CANT 202 ; BHO 943. 	232, 7/b (garshuni)
		Martyre de Pierre d'Alexandrie					Éd. AMS V, p. 543-561 (Berlin 321 et Add. 14650 et 14641) ; BHO 930. 	Damas
		Martyre de Platon					SS 352. 	Damas 12/18
		Martyre de Posi  					Éd. AMS II, p. 208-232 ; BHO 993 ; SS 354. 	Add. 12174
		Martyre de Probe, Taraque et Andronic 					Éd. AMS VI, p. 171-209 (à partir de Add. 12174) ; BHO 1001. 	Add. 12174
		Martyre de Qardag 					Éd. AMS, 1891, vol. 2, p. 442-506 ; BHO 555-556 ; SS 356.   	Paris BnF syr. 295 ; 309 ; 326.
Hagio.		Martyre de Šabur, Isḥac, Ma’na, Abraham et Šim'un					Éd. AMS, 1891, vol. 2,  p. 51-56 ; BHO 1042 ; SS 386.	Vat. sir. 161
		Martyre de Šahdost 					Éd. AMS, 1891, vol. 2, p. 276-281 ; BHO 1033 ; SS 377. 	BL Add. 12174 ; Vat. sir. 161
		Martyre de Serge et Bacchus 					Éd. AMS, 1892, vol. 3, p. 283-322  (d'après Berlin 222) ; BHO 1052 ; SS 403. 	Damas 12/18 ; BL Add. 12174 ; vat. sir. 161 ; vat. sir. 199 (garshuni).
		Martyre de Siméon bar Ṣabba'e 					Éd. AMS 2, 1891, p. 131-207 (d'après un ms. persan) ; BHO 1119 ; SS 421. 	BL Add. 12174 ; vat. sir. 161
Apoc. 		Martyre de Simon le Cananéen 		Acta Simonis Cananaei 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 99-100 (texte), p. 118-119 (trad.) ; CANT 282 ; BHO 1114.	232, 7/v (garshuni)
		Martyre de Šmuna et Gurya					Éd. / Trad. BURKITT, Euphemia, p. 3-25 (texte), p. 90-110 (trad.) ; BHO 363 ; SS 181-427. 	Damas 12/18
		Martyre de Sophie et ses trois filles, Pistis, Elpis, Agape  					Éd. AMS VI, p. 32-52 ; éd. / trad. SMITH LEWIS, Select Narratives,  1900,vol. 1, p. ܪܝܚ-ܪܡܕ (texte) ; vol. 2, p. 168-184 (trad.) ; BHO  1082-84 ; SS 430.	Damas 12/18
Hagio.		Martyre de Stratonice et Seleucus 					Éd. AMS, 1894, vol. 4, p. 14-88 ; (d'après Add. 12174) ; BHO 1102-3 ; SS 432	Damas 12/18 ; BL Add. 12174 ; Vat. sir. 161
		Martyre de Tarbo et ses compagnes 					Éd. AMS, 1891, vol. 2,  p. 254-260 ; BHO 1149 ; SS 436.	BL Add. 12174 ; vat. sir. 161
		̣Martyre de Théodore d'Euchaïta / Théodore le Stratélate ? 					Éd. AMS VI, p. 500-535 d'après Add. 12174 et 14735 ; BHO 1165. 	Damas 12/18 ; Add. 12174
Hagio. 		Martyre de Theodoṭa la Courtisane					Éd. AMS, 1894, vol. 4, p. 123-27 ; BHO 1179.	Vat. sir. 161
Hagio. 		Martyre de Theonilla					Cf. BHG 2069-70.	Vat. sir. 161
Apoc. 		Martyre de Thomas 		Martyrium Thomae 			Pour le garshuni : Éd. / Trad. (texte arabe) SMITH LEWIS, Acta mythologica Apostolorum, 1904, p. 79-83 (texte), p. 94-99 (trad.) ; CANT 245.II ; BHO 1217.	232, 7/p (garshuni)
Hagio.		Martyre de Zebina, Lazare, Marut et leurs compagnons					Cf. Éd. AMS, 1891, vol. 2,  p. 39-51 ; cf. BHO 531.  	Vat. sir. 161
		Martyre d'Eudoxius et ses compagnons    					Éd. AMS VI, p. 119-132 (d'après Add. 12174) ; BHO 280. 	Add. 12174
Hagio. 		Martyre d'Eustache-Placide					Éd. AMS III, p. 215-253 (d'après Berlin Sachau 222 qui présente une rédaction très différente des mss de Paris selon Bedjan) ; BHO 298. 	234, 14. Damas 12/18 ; Add. 12174
		Martyre d'Ignace d'Antioche 					Éd. AMS, 1892, vol. 3, p. 199-214 (à partir de Berlin 222) ; BHO 452. 	Damas ; Paris BnF syr. 295
